"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US76109","ZCTA5 76109","22448","1098",
"8600000US76110","ZCTA5 76110","31118","1241",
"8600000US76111","ZCTA5 76111","22456","1009",
"8600000US76112","ZCTA5 76112","41448","1599",
"8600000US76114","ZCTA5 76114","25647","767",
"8600000US76115","ZCTA5 76115","20485","1176",
"8600000US76116","ZCTA5 76116","49789","2087",
"8600000US76117","ZCTA5 76117","31298","1320",
"8600000US76118","ZCTA5 76118","16318","929",
"8600000US76119","ZCTA5 76119","48380","1930",
"8600000US76120","ZCTA5 76120","19041","1269",
"8600000US76123","ZCTA5 76123","32131","1306",
"8600000US76126","ZCTA5 76126","21355","722",
"8600000US76127","ZCTA5 76127","2048","272",
"8600000US76129","ZCTA5 76129","2983","294",
"8600000US76131","ZCTA5 76131","37868","2341",
"8600000US76132","ZCTA5 76132","26405","1035",
"8600000US76133","ZCTA5 76133","51022","1641",
"8600000US76134","ZCTA5 76134","26581","1504",
"8600000US76135","ZCTA5 76135","23845","1783",
"8600000US76137","ZCTA5 76137","60065","1662",
"8600000US76140","ZCTA5 76140","30643","1605",
"8600000US76148","ZCTA5 76148","23819","648",
"8600000US76155","ZCTA5 76155","5289","413",
"8600000US76164","ZCTA5 76164","16091","1116",
"8600000US76177","ZCTA5 76177","7907","1020",
"8600000US76179","ZCTA5 76179","57204","1767",
"8600000US76180","ZCTA5 76180","36385","973",
"8600000US76182","ZCTA5 76182","31227","830",
"8600000US76201","ZCTA5 76201","28038","908",
"8600000US76205","ZCTA5 76205","20992","1200",
"8600000US76207","ZCTA5 76207","14221","946",
"8600000US76208","ZCTA5 76208","23463","1178",
"8600000US76209","ZCTA5 76209","24667","1233",
"8600000US76210","ZCTA5 76210","44044","1382",
"8600000US76225","ZCTA5 76225","3313","450",
"8600000US76226","ZCTA5 76226","25037","1009",
"8600000US76227","ZCTA5 76227","29616","944",
"8600000US76228","ZCTA5 76228","1027","174",
"8600000US76230","ZCTA5 76230","9538","526",
"8600000US76233","ZCTA5 76233","3490","606",
"8600000US76234","ZCTA5 76234","15341","624",
"8600000US76238","ZCTA5 76238","400","155",
"8600000US76239","ZCTA5 76239","1263","248",
"8600000US76240","ZCTA5 76240","27123","718",
"8600000US76244","ZCTA5 76244","74414","2518",
"8600000US76245","ZCTA5 76245","1869","355",
"8600000US76247","ZCTA5 76247","14009","858",
"8600000US76248","ZCTA5 76248","39131","640",
"8600000US76249","ZCTA5 76249","8516","605",
"8600000US76250","ZCTA5 76250","1011","174",
"8600000US76251","ZCTA5 76251","658","134",
"8600000US76252","ZCTA5 76252","2622","256",
